Agente	Frase	Rodada
AgCD3 | VerCD	AgCD3 -- OK... 5 (CINCO) sacos de fertilizante SUPER PREMIUM pelo preço BAIXO e 1 (UM) pelo preço NORMAL	2
EmpFert	Obrigada AT1, feito!	2
EmpFert	CD3, negócio fechado. Não esquece do favor :wink:	2
AgCD2 / PrefeitoCD	Empresário, eu ainda não recebi resposta :frowning:	2
EmpFert	CD2, desculpa me perdi kkkkkkkkkkkkkkk	2
AgCD2 / PrefeitoCD	Haha	2
AgCD2 / PrefeitoCD	Quero um preço bom, na última rodada tive que pagar as taxas maiores	2
AgCD2 / PrefeitoCD	E nessa eu pedi no início :frowning:	2
EmpFert	Posso fazer 6 super premium por preço normal	2
AgCD2 / PrefeitoCD	Pode ser, obrigado	2
EmpFert	feito :slight_smile:	2
AgCD2 / PrefeitoCD	:wink:	2
EmpFert	promoção relampago	2
EmpFert	fertilizante premium preço baixo	2
EmpFert	super premium preço normal	2
EmpFert	Bom dia! Estamos com promoção: Premium (estoque  20 un.): preço baixo, máximo 5 un. por cliente e Super Premium (estoque 20 un.): preço normal, máximo 5 un. por cliente	3
EmpFert	Valores após final do estoque promocional: Comum: preço baixo; Premium: preço normal, a partir de 3 unidades uma sai com preço baixo; Super Premium: preço alto, a partir de 6 unidades podemos negociar!	3
EmpFert	**OBS: peço que ao iniciar a sua compra informe sua Ag e tipo de fertilizante que deseja comprar :smile:	3
AgCD2 / PrefeitoCD	Bom dia	3
AgCD2 / PrefeitoCD	AgCD2 - Gostaria de comprar 6 fertiliantes super premium. Consegue fazer pelo preço baixo? Só comprei a preço normal/alto até agora :/	3
AgCD3 | VerCD	AgCD3 -- Olá! Gostaria de comprar 6 (SEIS) sacos de fertilizante SUPER PREMIUM pelo preço BAIXO :slight_smile:	3
AgAt2	AgAt2- gostaria de 6 Sp	3
AgAt2	se possivel pelo baixo	3
AgCD1 - Fiscal Cidadela	AgCD1 - Olá, gostaria de comprar 6 sacos de fertilizantes super premium	3
EmpFert	Bom dia AgCD2, posso fazer 5 pelo preço normal e 1 pelo preço baixo	3
EmpFert	Bom dia AgCD3, ainda estou chateada que levei uma multa e vc nao me "ajudou" kkkk	3
EmpFert	posso fazer 5 pelo preço normal e 1 pelo preço baixo	3
EmpFert	AgCD1, podemos negociar, se nao me der multinha mais, eu te vendo o super premium 3 pelo preço normal e 3 pelo preço baixo	3
AgCD2 / PrefeitoCD	Podemos fazer 3/3?	3
AgCD2 / PrefeitoCD	Eu só paguei preço normal/alto até agora :frowning:	3
AgCD2 / PrefeitoCD	Fehado?	3
AgAT3	bom dia, gostaria de 6 sacos de fertilizantes comum	3
AgCD3 | VerCD	Ok... Pode ser 5 sacos de soja pelo preço normal e 1 pelo preço baixo... Lembrando de q quando eu era fiscal sempre baixei uma unidade no grau das multas.... Vão sentir saudades do fiscal bonzinho q eu fui :slight_smile:	3
AgCD3 | VerCD	hahahahahhaha	3
EmpFert	Realmente AgCD2, verifiquei nas fichas e voce só pagou preço normal, dessa vez vou te fazer um desconto melhor.. pode ser 3 pelo preço normal e 3 pelo preço baixo pra voce	3
AgCD2 / PrefeitoCD	Fechado então, obrigado :wink:	3
AgAt1	AgAt1 - desejo obter estes itens caso tenhas em estoque:	3
AgAt1	5 super pemium	3
AgAt1	1 premium	3
AgCD1 - Fiscal Cidadela	AgCD1 - se quer negociar, o preço deveria ser baixo pra tudo	3
EmpFert	Bom dia Anna, qual sua Ag? Nao gostaria de comprar o premium que está em promoção a preço baixo?	3
AgAt2	oi	3
AgCD1 - Fiscal Cidadela	AgCD1 - 6 fertilizantes sp baixo?	3
AgAt2	tem Super preamium	3
AgAT3	Sou AgAT3, para esta safra vou usar comum! obrigada.	3
AgAT3	o comum está a preço baixo também, não está? vi no seu cartaz.	3
EmpFert	AgAt1 5 super premium a preço normal e 1 premium a preço baixo	3
EmpFert	gente um momento que me perdi	3
EmpFert	muita gente KKKKKKKKKKKKKKKKKKKKKKKK	3
EmpFert	ja começo a responder	3
AgAt1	AgAt1	3
AgAt1	Deal!	3
EmpFert	Resumindo:	3
EmpFert	AgCD3 -posso fazer 5 pelo preço normal e 1 pelo preço baixo SP	3
EmpFert	AgAt2 - posso fazer 5 peço preço normal e 1 pelo preço baixo SP	3
EmpFert	AgCD1  - Se eu baixar demais, a prefeitura arrecadará menos (sou um dos empresarios que mais dá $$)	3
EmpFert	AgAt1 - 5 SP preço normal e 1 P preço baixo (fechado!)	3
EmpFert	AgAT3 - O comum polui excessivamente, o que fará voce e eu levar multa :/ O Premium está no mesmo preço e polui menos o meio ambiente.	3
EmpFert	Por favor coloquem suas Ag's em todas as conversas	3
AgCD1 - Fiscal Cidadela	AgCD1 - ok, então 4 normal e 2 baixo?	3
EmpFert	Fechado AgCD1 :slight_smile:	3
AgCD1 - Fiscal Cidadela	obg	3
AgAt2	AgAt2 confirmado	3
AgAT3	AgAT3 - Não estava ciente quanto ao fertilizante comum poluir mais, me preocupo com este fator então vou levar 6 premium pelo preço baixo. Obrigada!	3
EmpFert	fechado!	3
EmpFert	@AgCD1 - Fiscal Cidadela não esquece de mim :wink:	3
AgCD1 - Fiscal Cidadela	Você quase não teve poluição, fique tranquila	3
AgCD3 | VerCD	Olá! Gostaria de comprar 6 (SEIS) sacos de fertilizante SUPER PREMIUM... Qual o valor? :slight_smile:	4
AgCD1 - Fiscal Cidadela	Olá, gostaria de 6 sacos de fertilizante super premium	4
AgAt2	oi gostaria de 6 fertilizantes SP	4
AgCD2 / PrefeitoCD	Gostaria de comprar 6 fertiliantes super premium. Consegue fazer pelo preço baixo?	4
EmpFert	Bom dia	4
EmpFert	AgCD3, AgCD1 posso fazer 4 SP a preço normal e 2 a preço baixo	4
AgCD1 - Fiscal Cidadela	ok, obrigada	4
EmpFert	AgAt2, 6 SP ficam 5 a preço alto e 1 a preço normal	4
EmpFert	AgCD2,  posso fazer 4 SP a preço normal e 2 a preço baixo	4
AgAt1	Desejo comprar fertilizantes Super Premium a preço alto em todas as 6 unidades	4
AgCD2 / PrefeitoCD	Fechado então @EmpFert , 4 SP normal e 2 baixo	4
AgAt2	Feito pra mim então	4
AgAt1	É um bom negócio, não podes me negar :yum:	4
AgCD3 | VerCD	QUERO 3 PACOTE 3... Qual valor dai?	4
AgAt1	Se der ruim dividimos a multa kkk	4
EmpFert	um momento	4
